UID,Name,Description,Owner,Owner UID,Publication Stage,Audience,Approval Status,Provenance,Type,Category,Tags,url,API Endpoint,Creation Date (UTC),Last Metadata Updated Date (UTC),Last Data Updated Date (UTC),Domain,Derived View,Visits,Downloads,Row Label,Row Count,Column Count,Contact Email,License,Attribution,Attribution Link,Published Version Name,Published Version UID,Parent UID,Supplemental Resources: Related Datasets Link(s),Jurisdiction: Jurisdiction,Time Period: Update Frequency,Time Period: Time Period of Content,Agency: State Agency Performing Data Updates,GIS Download: Place Keywords,Time Period: Date Metadata Written,Supplemental Resources: Additional Documentation Link,days_since_data_update,asset_age,expected_update_days,recently_enough,accessible,"Time Period: Other Update Frequency   If frequency isn't included in list above, please describe it here.",Data Def: data location,GIS Download: Shape File
bxrt-et9r,Sport Venues - Extreme Sports,"Maryland Sports (http://www.marylandsports.us/) has identified sport venues located within the State of Maryland. These venues offer opportunities to participate in free and fee-based, organized and pick-up, indoor and outdoor sports and physical fitness related activities in the area of Extreme Sports.",J.B. Churchill,37pn-ebz8,published,public,approved,official,dataset,,,https://opendata.maryland.gov/d/bxrt-et9r,https://opendata.maryland.gov/resource/bxrt-et9r.json,07/21/2025 10:17:23 PM,07/21/2025 10:17:24 PM,07/21/2025 10:17:26 PM,opendata.maryland.gov,false,2,0,,2,11,,,,,,,,,,,,,,,,7,7,,Metdata on the update frequency is missing.,Yes,,,
ufer-eit2,Sport Venues - Team Handball,"Maryland Sports (http://www.marylandsports.us/) has identified sport venues located within the State of Maryland. These venues offer opportunities to participate in free and fee-based, organized and pick-up, indoor and outdoor sports and physical fitness related activities in the area of Team Handball.",J.B. Churchill,37pn-ebz8,published,public,approved,official,dataset,,,https://opendata.maryland.gov/d/ufer-eit2,https://opendata.maryland.gov/resource/ufer-eit2.json,07/21/2025 09:53:40 PM,07/21/2025 09:53:41 PM,07/21/2025 09:53:43 PM,opendata.maryland.gov,false,2,0,,4,11,,,,,,,,,,,,,,,,7,7,,Metdata on the update frequency is missing.,Yes,,,
k39j-cnie,Biological Stream Reaches,"MBSS100 - the stream network for the State of Maryland,  based on data acquired from the U.S. Geological Survey, developed for accuracy at a 1:100,000 scale.  The stream base data have been augmented with information regarding the Strahler stream order and the presence or absence of a tidal influence in the stream represented by the segment.",J.B. Churchill,37pn-ebz8,published,public,approved,official,dataset,,,https://opendata.maryland.gov/d/k39j-cnie,https://opendata.maryland.gov/resource/k39j-cnie.json,07/21/2025 11:58:23 PM,07/21/2025 11:58:24 PM,07/21/2025 11:58:29 PM,opendata.maryland.gov,false,2,0,,15170,15,,,,,,,,,,,,,,,,7,7,,Metdata on the update frequency is missing.,Yes,,,
c2w4-4gqv,Childhood Obesity Grantees,Childhood Obesity Grantees - The Maryland Community Health Resources Commission works to expand access to health care services for low-income and under-served communities across the state.,J.B. Churchill,37pn-ebz8,published,public,approved,official,dataset,,,https://opendata.maryland.gov/d/c2w4-4gqv,https://opendata.maryland.gov/resource/c2w4-4gqv.json,07/22/2025 12:07:48 AM,07/22/2025 12:07:50 AM,07/22/2025 12:07:52 AM,opendata.maryland.gov,false,2,0,,3,12,,,,,,,,,,,,,,,,7,7,,Metdata on the update frequency is missing.,Yes,,,
e9ab-spng,Sport Venues - Beach Volleyball,"Maryland Sports (http://www.marylandsports.us/) has identified sport venues located within the State of Maryland. These venues offer opportunities to participate in free and fee-based, organized and pick-up, indoor and outdoor sports and physical fitness related activities in the area of Beach Volleyball.",J.B. Churchill,37pn-ebz8,published,public,approved,official,dataset,,,https://opendata.maryland.gov/d/e9ab-spng,https://opendata.maryland.gov/resource/e9ab-spng.json,07/21/2025 10:17:48 PM,07/21/2025 10:17:49 PM,07/21/2025 10:17:52 PM,opendata.maryland.gov,false,2,0,,13,11,,,,,,,,,,,,,,,,7,7,,Metdata on the update frequency is missing.,Yes,,,
4u8w-ymfu,Sport Venues - Baseball,"Maryland Sports (http://www.marylandsports.us/) has identified sport venues located within the State of Maryland. These venues offer opportunities to participate in free and fee-based, organized and pick-up, indoor and outdoor sports and physical fitness related activities in the area of Baseball.",J.B. Churchill,37pn-ebz8,published,public,approved,official,dataset,,,https://opendata.maryland.gov/d/4u8w-ymfu,https://opendata.maryland.gov/resource/4u8w-ymfu.json,07/21/2025 10:17:52 PM,07/21/2025 10:17:53 PM,07/21/2025 10:17:55 PM,opendata.maryland.gov,false,2,0,,134,11,,,,,,,,,,,,,,,,7,7,,Metdata on the update frequency is missing.,Yes,,,
cp7z-wtay,State Correctional Facilities,"This dataset contains correctional facilities run by the Maryland Department of Public Safety and Corrections (DPSCS). Data includes year opened, security level and facility administrators.",J.B. Churchill,37pn-ebz8,published,public,approved,official,dataset,,,https://opendata.maryland.gov/d/cp7z-wtay,https://opendata.maryland.gov/resource/cp7z-wtay.json,07/22/2025 03:14:27 AM,07/22/2025 03:14:29 AM,07/22/2025 03:14:30 AM,opendata.maryland.gov,false,2,0,,31,13,,,,,,,,,,,,,,,,7,7,,Metdata on the update frequency is missing.,Yes,,,
psyh-86vp,Tidal - Adult Habitat,This data layer shows Adult Finfish habitat areas in Maryland.,J.B. Churchill,37pn-ebz8,published,public,approved,official,dataset,,,https://opendata.maryland.gov/d/psyh-86vp,https://opendata.maryland.gov/resource/psyh-86vp.json,07/22/2025 02:29:57 AM,07/22/2025 02:29:58 AM,07/22/2025 02:30:01 AM,opendata.maryland.gov,false,2,0,,611,4,,,,,,,,,,,,,,,,7,7,,Metdata on the update frequency is missing.,Yes,,,
isf6-qw82,Sport Venues - Diving,"Maryland Sports (http://www.marylandsports.us/) has identified sport venues located within the State of Maryland. These venues offer opportunities to participate in free and fee-based, organized and pick-up, indoor and outdoor sports and physical fitness related activities in the area of Diving.",J.B. Churchill,37pn-ebz8,published,public,approved,official,dataset,,,https://opendata.maryland.gov/d/isf6-qw82,https://opendata.maryland.gov/resource/isf6-qw82.json,07/21/2025 10:17:28 PM,07/21/2025 10:17:29 PM,07/21/2025 10:17:31 PM,opendata.maryland.gov,false,2,1,,8,11,,,,,,,,,,,,,,,,7,7,,Metdata on the update frequency is missing.,Yes,,,
aaem-2i7i,Charter Fishing Small Vessel,"As a member of the Mid-Atlantic Regional Council on the Ocean (MARCO), Maryland, through its Coastal Zone Management (CZM) Program is collecting information on how the public uses the Atlantic coast of Maryland. These baseline data will inform planning efforts being undertaken by the Maryland Department of Natural Recources to help develop a Maryland Ocean Plan. Collecting data on the variety of ways you use the Seaside Bays and Atlantic Ocean will help us plan for reducing use conflicts in our coastal waters, maximizing efficiency, and enhancing environmental and economic productivity. State and federally managed waters of Maryland and the U.S. are used in many ways: commercial fishing, aquaculture, shipping, military exercises, sand mining, habitat for wildlife, and recreation. With new and expanding coastal and ocean uses emerging such as energy production and increased shipping and considering Maryland coastal population is increasing, the pressure is mounting to ensure that there is space for both traditional and new uses and that conflicts are minimized. Some mapped human use data exist, but Maryland has limited recreational water use data for its Atlantic Coast and Coastal Bays. So basic data on how we use our coastal waters will be collected by inviting residents and experts to share their knowledge about recreational uses at workshops using geographical information systems technology.",J.B. Churchill,37pn-ebz8,published,public,approved,official,dataset,,,https://opendata.maryland.gov/d/aaem-2i7i,https://opendata.maryland.gov/resource/aaem-2i7i.json,07/21/2025 09:59:08 PM,07/21/2025 09:59:09 PM,07/21/2025 09:59:12 PM,opendata.maryland.gov,false,2,0,,2,6,,,,,,,,,,,,,,,,7,7,,Metdata on the update frequency is missing.,Yes,,,
sshr-32wi,Other,"OP&R organizes and prepares for public health and medical emergencies through statewide partnerships with public, private and government agencies to coordinate an effective emergency response for the health and safety of all residents of Maryland. The Office of Preparedness and Response is responsible for staffing the Maryland Department of Health & Mental Hygiene (DHMH) Command Center during a significant public health event such as pandemic, natural disaster, act of terrorism or any incident that requires the coordination of state level health department resources. All staff are trained in the National Incident Management System (NIMS) and Incident Command System (ICS). The DHMH Command Center coordinates the state health department response to an incident in collaboration with the MEMA's Emergency Operations Center and other state agencies.",J.B. Churchill,37pn-ebz8,published,public,approved,official,dataset,,,https://opendata.maryland.gov/d/sshr-32wi,https://opendata.maryland.gov/resource/sshr-32wi.json,07/22/2025 12:08:37 AM,07/22/2025 12:08:38 AM,07/22/2025 12:08:40 AM,opendata.maryland.gov,false,2,0,,64,13,,,,,,,,,,,,,,,,7,7,,Metdata on the update frequency is missing.,Yes,,,
a7xp-xweg,Light Rail Parking,This data shows the locations of MTA's light rail parking facilities.,J.B. Churchill,37pn-ebz8,published,public,approved,official,dataset,,,https://opendata.maryland.gov/d/a7xp-xweg,https://opendata.maryland.gov/resource/a7xp-xweg.json,07/22/2025 03:31:29 AM,07/22/2025 03:31:30 AM,07/22/2025 03:31:32 AM,opendata.maryland.gov,false,2,0,,14,12,,,,,,,,,,,,,,,,7,7,,Metdata on the update frequency is missing.,Yes,,,
nexn-mv35,Maryland_Imaginary_Surfaces,"Areas surrounding military runways that must be kept clear of objects that could damage an aircraft. This layer is a member of the ""Military"" feature dataset, which contains layers related to military installations and flight training areas in the state of Maryland.",J.B. Churchill,37pn-ebz8,published,public,approved,official,dataset,,,https://opendata.maryland.gov/d/nexn-mv35,https://opendata.maryland.gov/resource/nexn-mv35.json,07/22/2025 03:05:26 AM,07/22/2025 03:05:27 AM,07/22/2025 03:05:30 AM,opendata.maryland.gov,false,2,0,,74,17,,,,,,,,,,,,,,,,7,7,,Metdata on the update frequency is missing.,Yes,,,
gg6g-7ret,Psychiatric Hospitals,"OP&R organizes and prepares for public health and medical emergencies through statewide partnerships with public, private and government agencies to coordinate an effective emergency response for the health and safety of all residents of Maryland. The Office of Preparedness and Response is responsible for staffing the Maryland Department of Health & Mental Hygiene (DHMH) Command Center during a significant public health event such as pandemic, natural disaster, act of terrorism or any incident that requires the coordination of state level health department resources. All staff are trained in the National Incident Management System (NIMS) and Incident Command System (ICS). The DHMH Command Center coordinates the state health department response to an incident in collaboration with the MEMA's Emergency Operations Center and other state agencies.",J.B. Churchill,37pn-ebz8,published,public,approved,official,dataset,,,https://opendata.maryland.gov/d/gg6g-7ret,https://opendata.maryland.gov/resource/gg6g-7ret.json,07/22/2025 12:08:32 AM,07/22/2025 12:08:34 AM,07/22/2025 12:08:37 AM,opendata.maryland.gov,false,2,0,,11,14,,,,,,,,,,,,,,,,7,7,,Metdata on the update frequency is missing.,Yes,,,
jfdi-t8qn,County Land Use Land Cover 2010,"This dataset contains summary statistics from the 1973, 2002, and 2010 land use/land cover datasets. The purpose of the 2010 land use/land cover data set is to provide a generalized view of how developed land has changed throughout the state, primarily capturing the conversion of resource land to development and characterizing the type of development (e.g. very low density, low density, medium density or high density residential development, commercial, industrial, institutional).",J.B. Churchill,37pn-ebz8,published,public,approved,official,dataset,,,https://opendata.maryland.gov/d/jfdi-t8qn,https://opendata.maryland.gov/resource/jfdi-t8qn.json,07/22/2025 12:25:51 AM,07/22/2025 12:25:55 AM,07/22/2025 12:26:09 AM,opendata.maryland.gov,false,2,2,,24,31,,,,,,,,,,,,,,,,7,7,,Metdata on the update frequency is missing.,Yes,,,
smyu-49g4,Telephone Area Codes,"Maryland Telephone Area Code Boundaries represents the telephone area codes for the State of Maryland. They are also known as Numbering Plan Areas (NPA). The Numbering Plan Areas reflect current and accurate boundary changes both where new NPAs split from existing NPAs and where new NPAs overlay existing NPAs. When an NPA is split, the geographic area covered by the old area code is divided geographically, with one portion retaining the previous area code and the other switching to the new area code. When a new NPA is added as an overlay, the old area code remains unaffected. Instead, all or part of the land covered by the old area code is now covered by the old and new area codes.",J.B. Churchill,37pn-ebz8,published,public,approved,official,dataset,,,https://opendata.maryland.gov/d/smyu-49g4,https://opendata.maryland.gov/resource/smyu-49g4.json,07/22/2025 02:29:33 AM,07/22/2025 02:29:34 AM,07/22/2025 02:29:38 AM,opendata.maryland.gov,false,2,0,,5,7,,,,,,,,,,,,,,,,7,7,,Metdata on the update frequency is missing.,Yes,,,
5wwb-9unn,Federal Military Installations,"The Department of Information Technology (DoIT) has identified military installations within the State of Maryland. These facilities offer jobs for military personnel living in and around the installations, as well as, opportunities for public/private partnerships which benefit the citizens of Maryland. In addition, these installations are used in emergency management and response and are partners with the State of Maryland during emergency situations.",J.B. Churchill,37pn-ebz8,published,public,approved,official,dataset,,,https://opendata.maryland.gov/d/5wwb-9unn,https://opendata.maryland.gov/resource/5wwb-9unn.json,07/22/2025 03:05:36 AM,07/22/2025 03:05:37 AM,07/22/2025 03:05:39 AM,opendata.maryland.gov,false,2,0,,29,14,,,,,,,,,,,,,,,,7,7,,Metdata on the update frequency is missing.,Yes,,,
a7qz-i6gp,Sport Venues - Fencing,"Maryland Sports (http://www.marylandsports.us/) has identified sport venues located within the State of Maryland. These venues offer opportunities to participate in free and fee-based, organized and pick-up, indoor and outdoor sports and physical fitness related activities in the area of Fencing.",J.B. Churchill,37pn-ebz8,published,public,approved,official,dataset,,,https://opendata.maryland.gov/d/a7qz-i6gp,https://opendata.maryland.gov/resource/a7qz-i6gp.json,07/21/2025 09:55:31 PM,07/21/2025 09:55:32 PM,07/21/2025 09:55:34 PM,opendata.maryland.gov,false,2,0,,9,11,,,,,,,,,,,,,,,,7,7,,Metdata on the update frequency is missing.,Yes,,,
888c-gjd9,Scenic Natural Views,"Maryland, through its Coastal Zone Management (CZM) Program, is collecting information on how the public uses the Chesapeake Bay waters and adjacent lands. These baseline data will inform planning efforts being undertaken by the Maryland Department of Natural Resources to help inform public access, land acquisition, and future oyster aquaculture planning and decision-making. Collecting data on the variety of ways our Chesapeake waters are used will help us plan for reducing use conflicts in our coastal waters, maximizing efficiency, and enhancing environmental and economic productivity. Chesapeake Bay waters are used in many ways: commercial fishing, aquaculture, transport, habitat for wildlife, and recreation, among others. With new and expanding coastal and marine uses, as well as Maryland’s growing coastal population, the pressure is mounting to ensure that there is space for both traditional and new uses and that conflicts are minimized. Some mapped human use data exist, but Maryland has limited recreational water use data for the Chesapeake waters. Basic data on how we use our coastal waters was collected by inviting residents and experts to share their knowledge about recreational uses at workshops using geographical information systems technology.",J.B. Churchill,37pn-ebz8,published,public,approved,official,dataset,,,https://opendata.maryland.gov/d/888c-gjd9,https://opendata.maryland.gov/resource/888c-gjd9.json,07/21/2025 10:08:00 PM,07/21/2025 10:08:01 PM,07/21/2025 10:08:04 PM,opendata.maryland.gov,false,2,3,,5,6,,,,,,,,,,,,,,,,7,7,,Metdata on the update frequency is missing.,Yes,,,
x5jr-dycg,Health Information Technology Grantees,Health Information Technology Grantees - The Maryland Community Health Resources Commission works to expand access to health care services for low-income and under-served communities across the state.,J.B. Churchill,37pn-ebz8,published,public,approved,official,dataset,,,https://opendata.maryland.gov/d/x5jr-dycg,https://opendata.maryland.gov/resource/x5jr-dycg.json,07/22/2025 12:08:09 AM,07/22/2025 12:08:10 AM,07/22/2025 12:08:12 AM,opendata.maryland.gov,false,2,1,,9,12,,,,,,,,,,,,,,,,7,7,,Metdata on the update frequency is missing.,Yes,,,
8b62-3cv4,Trust Fund Project Status,"In 2007, State leaders in Maryland took a bold step in their efforts to restore the Chesapeake Bay with the creation of the Chesapeake and Atlantic Coastal Bays Trust Fund (Trust Fund). The Trust Fund allows Maryland to accelerate Bay restoration by focusing limited financial resources on the most effective non-point source pollution control projects. Dollars for the Trust Fund are generated through motor fuel tax and rental car tax in Maryland. It is anticipated that when fully-funded, the Trust Fund will generate $50M annually. This file depicts the Bay Trust Fund Project locations.",J.B. Churchill,37pn-ebz8,published,public,approved,official,dataset,,,https://opendata.maryland.gov/d/8b62-3cv4,https://opendata.maryland.gov/resource/8b62-3cv4.json,07/21/2025 11:10:36 PM,07/21/2025 11:10:38 PM,07/21/2025 11:10:41 PM,opendata.maryland.gov,false,2,1,,2179,23,,,,,,,,,,,,,,,,7,7,,Metdata on the update frequency is missing.,Yes,,,
2afq-vi8g,Sport Venues - Disc Golf,"Maryland Sports (http://www.marylandsports.us/) has identified sport venues located within the State of Maryland. These venues offer opportunities to participate in free and fee-based, organized and pick-up, indoor and outdoor sports and physical fitness related activities in the area of Disc Golf.",J.B. Churchill,37pn-ebz8,published,public,approved,official,dataset,,,https://opendata.maryland.gov/d/2afq-vi8g,https://opendata.maryland.gov/resource/2afq-vi8g.json,07/21/2025 10:17:29 PM,07/21/2025 10:17:31 PM,07/21/2025 10:17:33 PM,opendata.maryland.gov,false,2,1,,18,11,,,,,,,,,,,,,,,,7,7,,Metdata on the update frequency is missing.,Yes,,,
bqs5-3utc,Community Anchor Institutions,Point layer contains the locations of comuunity anchor institutions in Maryland. The status of broadband connectivity is displayed.,J.B. Churchill,37pn-ebz8,published,public,approved,official,dataset,,,https://opendata.maryland.gov/d/bqs5-3utc,https://opendata.maryland.gov/resource/bqs5-3utc.json,07/22/2025 02:27:07 AM,07/22/2025 02:27:10 AM,07/22/2025 02:27:18 AM,opendata.maryland.gov,false,2,2,,15612,50,,,,,,,,,,,,,,,,7,7,,Metdata on the update frequency is missing.,Yes,,,
